,Unnamed: 0,product_name,max_capacity,link,type,format,interface,released,released_normalized,max_capacity_GB,controller,dram,Interface,Type,Technology,Read Time (tR),Program Time (tProg),Die Read Speed,Die Write Speed,Sequential Read,Sequential Write,Random Read,Random Write
22,22,Microsoft Z1000 ,960 GB,https://www.techpowerup.com/ssd-specs/microsoft-z1000-960-gb.d1948,TLC,M.2 22110,PCIe 4.0 x4,2020,7/2/2020,960,CNX-2670AA,1024 MB,PCIe 4.0 x4,TLC,96-layer,59 µs,625 µs,551 MB/s,56 MB/s,Unknown,Unknown,Unknown,Unknown
23,23,SK Hynix PE6011 ,7.5 TB,https://www.techpowerup.com/ssd-specs/sk-hynix-pe6011-1-9-tb.d1492,TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,7500,SH58800GG,2048 MB,PCIe 3.0 x4,TLC,72-layer,NotFound,NotFound,NotFound,NotFound,"3,200 MB/s","2,450 MB/s","610,000 IOPS","70,000 IOPS"
24,24,Memblaze PBlaze5 C916 ,6.4 TB,https://www.techpowerup.com/ssd-specs/memblaze-pblaze5-c916-6-4-tb.d1590,TLC,Add-In Card,PCIe 3.0 x8,20-Dec,12/1/2020,6400,PM8607,9216 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
25,25,Solidigm D7-P5510 ,7.5 TB,https://www.techpowerup.com/ssd-specs/solidigm-d7-p5510-7-5-tb.d1331,pTLC (QLC),U.2,PCIe 4.0 x4,20-Dec,12/1/2020,7500,SLNBX,10240 MB,PCIe 4.0 x4,pTLC (QLC),144-layer,NotFound,NotFound,NotFound,NotFound,"7,000 MB/s","4,194 MB/s","930,000 IOPS","190,000 IOPS"
26,26,Samsung PM897 ,3.8 TB,https://www.techpowerup.com/ssd-specs/samsung-pm897-3-8-tb.d1456,TLC,"2.5""",SATA 6 Gbps,21-Jan,1/1/2021,3800,Samsung MKX Metis,4096 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
27,27,Samsung PM9A3 ,7.5 TB,https://www.techpowerup.com/ssd-specs/samsung-pm9a3-960-gb.d1259,TLC,U.3,PCIe 4.0 x4,21-Feb,2/1/2021,7500,Samsung Elpis,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
28,28,Memblaze PBlaze6 6530 ,7.5 TB,https://www.techpowerup.com/ssd-specs/memblaze-pblaze6-6530-1-9-tb.d2007,TLC,U.2,PCIe 4.0 x4,21-May,5/1/2021,7500,NVMe3108,Unknown,PCIe 4.0 x4,TLC,176-layer,NotFound,492 µs,NotFound,130 MB/s,"6,800 MB/s","2,700 MB/s","910,000 IOPS","110,000 IOPS"
29,29,Kingston DC1500M ,7.5 TB,https://www.techpowerup.com/ssd-specs/kingston-dc1500m-1-9-tb.d2130,TLC,U.2,PCIe 3.0 x4,21-Jul,7/1/2021,7500,SM2270,2048 MB,PCIe 3.0 x4,TLC,96-layer,58 µs,561 µs,551 MB/s,57 MB/s,"3,100 MB/s","2,700 MB/s","420,000 IOPS","200,000 IOPS"
30,30,DapuStor Xlenstor X2900 ,1.6 TB,https://www.techpowerup.com/ssd-specs/dapustor-xlenstor-x2900-800-gb.d1663,SLC,U.2,PCIe 4.0 x4,2021,7/2/2021,1600,DP616,Unknown,PCIe 4.0 x4,SLC,96-layer,4 µs,75 µs,390 MB/s,208 MB/s,"7,300 MB/s","6,800 MB/s","1,750,000 IOPS","570,000 IOPS"
31,31,SK Hynix PE8110 ,7.5 TB,https://www.techpowerup.com/ssd-specs/sk-hynix-pe8110-960-gb.d1729,TLC,U.2,PCIe 4.0 x4,2021,7/2/2021,7500,Aquarius,Unknown,PCIe 4.0 x4,TLC,128-layer,NotFound,NotFound,NotFound,NotFound,"6,500 MB/s","1,700 MB/s","900,000 IOPS","70,000 IOPS"
32,32,SK Hynix PE8130 ,6 TB,https://www.techpowerup.com/ssd-specs/sk-hynix-pe8130-800-gb.d1733,TLC,U.2,PCIe 4.0 x4,2021,7/2/2021,6000,Aquarius,Unknown,PCIe 4.0 x4,TLC,128-layer,NotFound,NotFound,NotFound,NotFound,"6,500 MB/s","1,700 MB/s","900,000 IOPS","160,000 IOPS"
33,33,Kioxia FL6 ,3 TB,https://www.techpowerup.com/ssd-specs/kioxia-fl6-800-gb.d1880,SLC,U.3,PCIe 4.0 x4,21-Sep,9/1/2021,3000,TC58NC1132GTC,Unknown,PCIe 4.0 x4,SLC,96-layer,4 µs,75 µs,390 MB/s,208 MB/s,"6,200 MB/s","6,200 MB/s","1,480,000 IOPS","360,000 IOPS"
34,34,Micron 7450 Pro ,15 TB,https://www.techpowerup.com/ssd-specs/micron-7450-pro-15-tb.d1869,TLC,U.3,PCIe 4.0 x4,22-Mar,3/1/2022,15000,9AC06,Unknown,PCIe 4.0 x4,TLC,176-layer,NotFound,492 µs,NotFound,130 MB/s,"6,800 MB/s","5,600 MB/s","1,000,000 IOPS","250,000 IOPS"
35,35,DapuStor Roalsen SSD R5100 ,15 TB,https://www.techpowerup.com/ssd-specs/dapustor-roalsen-ssd-r5100-7-5-tb.d2169,TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,15000,DP616,10240 MB,PCIe 4.0 x4,TLC,112-layer,56 µs,484 µs,571 MB/s,66 MB/s,"7,400 MB/s","5,700 MB/s","1,750,000 IOPS","280,000 IOPS"
36,36,Ramaxel TP6500 ,3.8 TB,https://www.techpowerup.com/ssd-specs/ramaxel-tp6500-3-8-tb.d1795,TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,3800,Phoenix 8020,Unknown,PCIe 4.0 x4,TLC,96-layer,59 µs,625 µs,551 MB/s,56 MB/s,Unknown,Unknown,Unknown,Unknown
37,37,Samsung PM1653 ,31 TB,https://www.techpowerup.com/ssd-specs/samsung-pm1653-960-gb.d1786,TLC,"2.5""",SAS 24 Gbps,2022,7/2/2022,31000,Samsung RGX,Unknown,SAS 24 Gbps,TLC,128-layer,45 µs,400 µs,711 MB/s,84 MB/s,"4,200 MB/s","1,200 MB/s","600,000 IOPS","55,000 IOPS"
38,38,Seagate Nytro 5350H ,7.5 TB,https://www.techpowerup.com/ssd-specs/seagate-nytro-5350h-1-9-tb.d2122,TLC,U.3,PCIe 4.0 x4,2022,7/2/2022,7500,Phison X1 (E20),2048 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
39,39,Union Memory UH810A ,7.5 TB,https://www.techpowerup.com/ssd-specs/union-memory-uh810a-1-9-tb.d1807,TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,7500,Phoenix 8020,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
40,40,Union Memory UH830A ,6 TB,https://www.techpowerup.com/ssd-specs/union-memory-uh830a-1-6-tb.d1808,TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,6000,Phoenix 8020,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
41,41,Samsung PM893 ,7.5 TB,https://www.techpowerup.com/ssd-specs/samsung-pm893-960-gb.d1864,TLC,"2.5""",SATA 6 Gbps,22-Aug,8/1/2022,7500,Samsung MKX Metis,Unknown,SATA 6 Gbps,TLC,128-layer,45 µs,390 µs,711 MB/s,82 MB/s,550 MB/s,520 MB/s,"98,000 IOPS","30,000 IOPS"
42,42,Seagate Nytro 5550H ,13 TB,https://www.techpowerup.com/ssd-specs/seagate-nytro-5550h-800-gb.d1602,TLC,U.2,PCIe 4.0 x4,22-Aug,8/1/2022,13000,Phison X1 (E20),Unknown,PCIe 4.0 x4,TLC,128-layer,NotFound,NotFound,NotFound,NotFound,"7,400 MB/s","1,900 MB/s","945,000 IOPS","140,000 IOPS"
43,43,Samsung PM1743 ,15 TB,https://www.techpowerup.com/ssd-specs/samsung-pm1743-1-9-tb.d1684,TLC,U.2,PCIe 5.0 x4,22-Oct,10/1/2022,15000,Samsung ELAN,Unknown,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
